dbscan_cluster,DaysSinceRecentOrder,Nb Orders,Amount Orders,Avg Amount Orders,Nb items,Avg Nb items,Avg item amount,PayMeth_Bancontact,PayMeth_Ideal,PayMeth_Klarna,PayMeth_Pay Later,PayMeth_shopify payments,Always Discount,Never Discount,Max Discount Percentage,Same SKU more than once,Email Marketing Consent,Accepts Marketing,click,open,Days since First Active,Days since Last Active,Recent City_amsterdam,Recent City_den haag,Recent City_haarlem,Recent City_rotterdam,Recent City_utrecht,Recent Country_be,Recent Country_de,Recent Country_nl,Cluster Size
-1,283.66,1.59,237.28,70.04,4.17,1.58,31.09,0.09,0.4,0.09,0.15,0.42,0.62,0.24,0.12,0.18,0.94,0.19,0.58,0.96,501.35,120.4,0.04,0.01,0.01,0.02,0.02,0.17,0.0,0.83,16186
0,386.48,1.0,29.01,29.01,1.0,1.0,31.98,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,662.81,382.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,116
1,385.96,1.0,32.84,32.84,1.0,1.0,32.84,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,610.03,146.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,358
2,386.2,1.0,32.18,32.18,1.0,1.0,32.18,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,645.56,306.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,287
3,385.48,1.0,32.43,32.43,1.0,1.0,32.43,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,566.2,30.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,66
4,244.34,1.0,30.59,30.59,1.0,1.0,34.08,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.11,0.0,1.0,1.0,1.0,1.0,266.14,22.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,137
5,386.32,1.0,33.84,33.84,1.0,1.0,33.84,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,610.48,244.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,44
6,214.35,1.0,34.92,34.92,1.0,1.0,34.92,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,214.34,36.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,65
7,386.81,1.0,29.56,29.56,1.0,1.0,32.55,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.0,0.0,1.0,1.0,641.83,374.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,103
8,255.37,1.0,35.32,35.32,1.0,1.0,35.32,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,259.23,186.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,81
9,239.0,1.0,30.9,30.9,1.0,1.0,34.34,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.11,0.0,1.0,1.0,0.0,1.0,248.49,27.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,74
10,385.88,1.0,28.55,28.55,1.0,1.0,31.54,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,1.0,0.0,1.0,1.0,639.64,21.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80
11,39.0,1.0,30.16,30.16,1.0,1.0,30.16,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,38.98,9.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,48
12,244.36,1.0,36.36,36.36,1.0,1.0,36.36,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,245.16,176.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50
13,272.73,1.0,33.43,33.43,1.0,1.0,37.15,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.11,0.0,0.0,0.0,1.0,1.0,274.7,40.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40
