DaysSinceRecentOrder,Nb Orders,Amount Orders,Avg Amount Orders,Max Amount Orders,Nb items,Avg Nb items,Avg item amount,Max item amount,PayMeth_Bancontact,PayMeth_Card,PayMeth_Ideal,PayMeth_Klarna,PayMeth_Other,PayMeth_Pay Later,PayMeth_shopify payments,Always Discount,Always Free Shipping,Never Discount,Never Free Shipping,Max Discount Percentage,Same SKU more than once,Email Marketing Consent,Accepts Marketing,click,open,Days since First Active,Days since Last Active,Days since Profile Created On,Days since Date Added,Recent City_amersfoort,Recent City_amsterdam,Recent City_breda,Recent City_den haag,Recent City_eindhoven,Recent City_groningen,Recent City_haarlem,Recent City_rotterdam,Recent City_utrecht,Recent City_zwolle,dbscan_cluster
270,1,29.95,29.95,29.95,1,1.0,29.95,29.95,0,0,0,0,0,0,1,0,1,1,0,0.0,0,2,0,1,1,270,208,270,1,False,False,False,False,False,False,False,False,True,False,-1
208,1,514.64,128.66,128.66,5,1.0,29.25,31.16,0,0,1,0,0,0,0,1,1,0,0,0.11,0,1,1,0,1,208,2,208,1,False,False,False,False,False,False,False,False,False,False,-1
387,1,23.76,23.76,23.76,1,1.0,27.22,27.22,0,0,1,0,0,0,0,1,1,0,0,0.15,0,2,0,0,1,777,387,777,1,False,False,False,False,False,False,False,False,False,False,0
294,1,19.95,19.95,19.95,1,1.0,19.95,19.95,0,0,0,1,0,0,0,0,1,1,0,0.0,0,2,0,1,1,294,2,294,1,False,False,False,False,False,False,False,False,False,False,1
387,2,219.12,109.56,153.22,7,4.0,32.95,32.95,0,0,1,0,0,0,0,0,1,0,0,0.08,1,2,0,0,1,797,2,797,1,False,False,False,False,False,False,False,False,False,False,-1
387,2,679.62,169.9,172.7,12,3.0,30.68,30.95,1,0,1,0,0,0,0,1,1,0,0,0.09,1,0,0,1,1,665,387,665,1,False,False,False,False,False,False,False,False,False,False,-1
387,1,237.26,118.63,118.63,4,2.0,32.38,32.38,0,0,0,0,0,1,0,1,1,0,0,0.09,0,0,0,1,1,803,365,803,1,False,False,False,False,False,False,False,False,False,False,2
387,1,32.95,32.95,32.95,1,1.0,32.95,32.95,0,0,0,0,0,1,0,0,1,1,0,0.0,0,1,0,0,1,686,124,686,1,False,False,False,False,False,False,False,False,False,False,3
274,1,34.95,34.95,34.95,1,1.0,34.95,34.95,0,0,0,1,0,0,0,0,1,1,0,0.0,0,2,0,1,1,274,1,274,1,False,True,False,False,False,False,False,False,False,False,-1
387,1,159.32,79.66,79.66,3,2.0,27.95,27.95,1,0,0,0,0,0,0,1,1,0,0,0.05,0,0,0,1,0,1076,384,391,1,False,False,False,False,False,False,False,False,False,False,-1
387,1,203.52,67.84,67.84,4,1.0,19.29,25.52,0,0,1,0,0,0,0,1,1,0,0,0.23,0,0,0,1,1,622,387,622,1,False,False,False,False,False,False,False,False,False,False,4
387,1,31.95,31.95,31.95,1,1.0,31.95,31.95,0,0,1,0,0,0,0,0,1,1,0,0.0,0,0,0,1,1,616,125,616,1,False,False,False,False,False,False,False,False,False,False,5
213,1,116.44,58.22,58.22,3,2.0,23.66,29.95,0,0,0,1,0,0,0,1,1,0,0,0.11,0,0,0,1,1,213,41,213,1,False,False,False,False,False,False,False,False,True,False,-1
387,1,119.8,119.8,119.8,5,5.0,28.91,28.91,0,0,1,0,0,0,0,1,1,0,0,0.21,0,0,0,1,1,998,182,893,1,False,True,False,False,False,False,False,False,False,False,-1
387,3,646.49,161.62,220.18,18,4.0,27.7,34.95,0,0,1,0,0,0,0,1,1,0,0,0.11,1,2,0,1,1,820,45,820,1,False,False,False,False,False,False,False,False,False,False,-1
387,2,838.59,167.72,208.49,11,2.0,28.35,34.95,0,0,1,0,0,0,0,1,1,0,0,0.11,0,0,0,0,1,543,282,525,1,False,False,False,False,False,False,True,False,False,False,-1
4,1,683.25,136.65,136.65,5,1.0,32.15,32.95,0,0,0,0,0,0,1,1,1,0,0,0.18,0,1,1,1,1,28,-3,4,1,False,False,False,False,False,False,False,False,False,False,6
387,1,194.1,97.05,97.05,4,2.0,26.49,26.49,0,0,1,0,0,0,0,1,1,0,0,0.09,0,0,0,0,1,665,387,665,1,False,False,False,False,False,False,False,False,False,False,0
387,1,33.26,33.26,33.26,1,1.0,36.65,36.65,0,0,0,0,0,1,0,1,1,0,0,0.1,0,0,0,1,1,575,387,575,1,False,False,False,False,False,False,False,False,False,False,2
387,1,135.8,67.9,67.9,2,1.0,33.95,34.95,0,0,1,0,0,0,0,0,1,1,0,0.0,0,2,0,0,1,766,162,766,1,False,False,False,False,False,False,False,False,False,False,7
48,1,57.9,57.9,57.9,2,2.0,28.95,28.95,0,0,0,0,0,0,1,0,1,1,0,0.0,0,2,0,0,1,48,22,48,1,False,False,False,False,False,False,False,False,False,False,8
387,5,289.15,57.83,91.06,10,2.0,31.45,31.95,1,1,1,0,0,0,0,0,1,0,0,0.21,1,0,0,0,1,1095,387,594,1,False,False,False,False,False,False,False,False,False,False,-1
387,1,118.6,59.3,59.3,2,1.0,32.38,33.36,0,0,1,0,0,0,0,1,1,0,0,0.09,0,0,0,0,1,707,387,707,1,False,True,False,False,False,False,False,False,False,False,9
98,1,184.44,92.22,92.22,5,2.0,28.95,30.95,0,0,0,0,0,0,1,1,1,0,0,0.55,0,2,0,0,1,98,71,98,1,False,False,False,False,False,False,False,False,False,False,10
221,2,713.33,142.67,240.52,10,2.0,32.27,88.7,0,0,0,0,0,0,1,0,1,0,0,0.11,0,0,0,1,1,223,41,223,1,False,False,False,False,False,False,False,False,False,False,-1
377,1,67.9,67.9,67.9,2,2.0,33.95,33.95,0,0,1,0,0,0,0,0,1,1,0,0.0,0,2,0,1,1,387,377,387,1,False,False,False,False,False,False,False,False,False,False,5
