DaysSinceRecentOrder,Nb Orders,Amount Orders,Avg Amount Orders,Nb items,Avg Nb items,Avg item amount,PayMeth_Bancontact,PayMeth_Ideal,PayMeth_Klarna,PayMeth_Pay Later,PayMeth_shopify payments,Always Discount,Never Discount,Max Discount Percentage,Same SKU more than once,Email Marketing Consent,Accepts Marketing,click,open,Days since First Active,Days since Last Active,Recent City_amsterdam,Recent City_den haag,Recent City_haarlem,Recent City_rotterdam,Recent City_utrecht,Recent Country_be,Recent Country_de,Recent Country_nl,cluster
270,1,29.95,29.95,1,1.0,29.95,0,0,0,0,1,0,1,0.0,0,2,0,1,1,270,208,False,False,False,False,True,False,False,True,2
208,1,514.64,128.66,5,1.0,29.25,0,1,0,0,0,1,0,0.11,0,1,1,0,1,208,2,False,False,False,False,False,False,False,True,1
387,1,23.76,23.76,1,1.0,27.22,0,1,0,0,0,1,0,0.15,0,2,0,0,1,777,387,False,False,False,False,False,False,False,True,3
294,1,19.95,19.95,1,1.0,19.95,0,0,1,0,0,0,1,0.0,0,2,0,1,1,294,2,False,False,False,False,False,False,False,True,2
387,2,219.12,109.56,7,4.0,32.95,0,1,0,0,0,0,0,0.08,1,2,0,0,1,797,2,False,False,False,False,False,False,False,True,3
387,2,679.62,169.9,12,3.0,30.68,1,1,0,0,0,1,0,0.09,1,0,0,1,1,665,387,False,False,False,False,False,True,False,False,0
387,1,237.26,118.63,4,2.0,32.38,0,0,0,1,0,1,0,0.09,0,0,0,1,1,803,365,False,False,False,False,False,False,False,True,3
387,1,32.95,32.95,1,1.0,32.95,0,0,0,1,0,0,1,0.0,0,1,0,0,1,686,124,False,False,False,False,False,False,False,True,2
274,1,34.95,34.95,1,1.0,34.95,0,0,1,0,0,0,1,0.0,0,2,0,1,1,274,1,True,False,False,False,False,False,False,True,2
387,1,159.32,79.66,3,2.0,27.95,1,0,0,0,0,1,0,0.05,0,0,0,1,0,1076,384,False,False,False,False,False,True,False,False,0
387,1,203.52,67.84,4,1.0,19.29,0,1,0,0,0,1,0,0.23,0,0,0,1,1,622,387,False,False,False,False,False,False,False,True,3
387,1,31.95,31.95,1,1.0,31.95,0,1,0,0,0,0,1,0.0,0,0,0,1,1,616,125,False,False,False,False,False,False,False,True,2
213,1,116.44,58.22,3,2.0,23.66,0,0,1,0,0,1,0,0.11,0,0,0,1,1,213,41,False,False,False,False,True,False,False,True,1
387,1,119.8,119.8,5,5.0,28.91,0,1,0,0,0,1,0,0.21,0,0,0,1,1,998,182,True,False,False,False,False,False,False,True,3
387,3,646.49,161.62,18,4.0,27.7,0,1,0,0,0,1,0,0.11,1,2,0,1,1,820,45,False,False,False,False,False,False,False,True,4
387,2,838.59,167.72,11,2.0,28.35,0,1,0,0,0,1,0,0.11,0,0,0,0,1,543,282,False,False,True,False,False,False,False,True,3
4,1,683.25,136.65,5,1.0,32.15,0,0,0,0,1,1,0,0.18,0,1,1,1,1,28,-3,False,False,False,False,False,True,False,False,1
387,1,194.1,97.05,4,2.0,26.49,0,1,0,0,0,1,0,0.09,0,0,0,0,1,665,387,False,False,False,False,False,False,False,True,3
387,1,33.26,33.26,1,1.0,36.65,0,0,0,1,0,1,0,0.1,0,0,0,1,1,575,387,False,False,False,False,False,False,False,True,3
387,1,135.8,67.9,2,1.0,33.95,0,1,0,0,0,0,1,0.0,0,2,0,0,1,766,162,False,False,False,False,False,False,False,True,2
48,1,57.9,57.9,2,2.0,28.95,0,0,0,0,1,0,1,0.0,0,2,0,0,1,48,22,False,False,False,False,False,False,False,True,2
387,5,289.15,57.83,10,2.0,31.45,1,1,0,0,0,0,0,0.21,1,0,0,0,1,1095,387,False,False,False,False,False,False,False,True,4
387,1,118.6,59.3,2,1.0,32.38,0,1,0,0,0,1,0,0.09,0,0,0,0,1,707,387,True,False,False,False,False,False,False,True,3
98,1,184.44,92.22,5,2.0,28.95,0,0,0,0,1,1,0,0.55,0,2,0,0,1,98,71,False,False,False,False,False,False,False,True,1
221,2,713.33,142.67,10,2.0,32.27,0,0,0,0,1,0,0,0.11,0,0,0,1,1,223,41,False,False,False,False,False,False,False,True,1
377,1,67.9,67.9,2,2.0,33.95,0,1,0,0,0,0,1,0.0,0,2,0,1,1,387,377,False,False,False,False,False,False,False,True,2
321,1,109.62,54.81,2,1.0,30.45,0,0,0,0,1,1,0,0.11,0,1,1,0,1,321,1,False,False,False,False,False,True,False,False,1
377,4,506.13,101.23,11,2.0,26.95,0,1,0,0,0,0,0,0.11,0,0,0,1,1,418,213,False,False,False,False,False,False,False,True,4
159,1,123.05,123.05,5,5.0,28.95,0,0,0,0,1,1,0,0.18,0,1,1,1,1,159,2,False,False,False,False,False,False,False,False,1
387,2,99.06,49.53,3,2.0,32.21,0,1,0,0,0,0,0,0.09,0,0,0,1,1,635,387,False,False,False,False,True,False,False,True,3
254,2,232.25,116.12,8,4.0,27.16,0,0,0,0,1,1,0,0.11,0,1,1,1,1,269,28,False,False,False,False,False,False,False,True,1
387,2,148.55,49.52,6,2.0,19.76,0,1,0,1,0,1,0,0.09,0,1,1,1,1,669,230,False,False,False,False,False,False,False,True,3
140,1,123.8,61.9,2,1.0,30.95,0,0,0,0,1,0,1,0.0,0,0,0,0,1,140,113,False,False,True,False,False,False,False,True,2
42,1,28.95,28.95,1,1.0,28.95,0,0,0,0,1,0,1,0.0,0,2,0,0,0,42,15,False,False,False,False,False,False,False,True,2
387,1,73.9,73.9,2,2.0,36.95,0,1,0,0,0,0,1,0.0,0,2,0,1,1,641,240,False,False,False,False,False,False,False,True,2
387,1,24.61,24.61,1,1.0,28.2,0,1,0,0,0,1,0,0.15,0,1,0,1,1,928,56,False,False,False,False,False,False,False,True,3
387,1,55.9,55.9,2,2.0,27.95,0,1,0,0,0,0,1,0.0,0,1,0,0,0,1043,387,False,False,False,False,False,False,False,True,2
377,1,679.14,339.57,14,7.0,26.95,0,1,0,0,0,1,0,0.11,0,0,0,0,1,398,319,False,False,False,False,False,False,False,True,3
2,1,64.62,64.62,1,1.0,129.23,0,0,0,0,1,1,0,1.0,0,1,1,0,1,2,-1,True,False,False,False,False,False,False,True,1
275,1,70.12,70.12,2,2.0,38.95,0,0,0,0,1,1,0,0.11,0,1,1,1,1,327,41,False,False,False,False,False,False,False,True,1
238,1,70.11,70.11,2,2.0,38.95,0,0,0,0,1,1,0,0.11,0,1,1,1,1,240,0,False,False,False,False,False,False,False,True,1
301,2,107.82,53.91,4,2.0,29.95,0,1,0,0,1,0,0,0.25,1,0,0,1,1,476,208,False,False,False,False,False,False,False,True,3
68,5,539.97,77.14,14,2.0,26.68,0,1,0,0,1,0,0,0.25,0,1,0,1,1,623,37,False,False,False,False,False,False,False,True,4
244,2,641.54,106.92,10,2.0,20.26,0,0,0,0,1,0,0,0.25,0,1,1,1,0,282,41,False,False,False,False,False,False,False,True,1
387,2,56.01,28.0,2,1.0,29.33,0,1,0,0,0,0,0,0.1,0,0,0,1,1,581,231,False,False,False,False,False,False,False,True,3
57,2,470.1,94.02,6,1.0,33.75,0,0,0,0,1,1,0,0.11,0,0,0,1,1,293,29,False,False,False,False,False,False,False,True,1
194,1,27.16,27.16,1,1.0,27.16,0,0,0,0,1,0,1,0.0,0,0,0,1,1,194,23,False,False,False,False,False,False,False,True,2
242,1,122.15,122.15,1,1.0,122.15,0,0,0,0,1,0,1,0.0,0,2,0,1,1,242,21,False,False,False,False,False,False,False,True,2
181,2,124.03,62.02,4,2.0,33.95,0,0,0,0,1,1,0,0.11,0,1,1,1,1,189,2,True,False,False,False,False,False,False,True,1
387,1,76.68,76.68,3,3.0,30.84,0,1,0,0,0,1,0,0.21,0,0,0,0,1,1002,387,False,False,False,False,False,False,False,True,3
387,1,33.95,33.95,1,1.0,33.95,0,0,0,0,0,0,1,0.0,0,1,0,0,1,642,0,False,False,False,False,False,False,False,True,2
387,1,233.28000000000003,77.76,3,1.0,27.28,0,1,0,0,0,1,0,0.05,0,0,0,0,1,537,387,False,False,False,False,False,False,False,True,3
369,1,391.68,97.92,4,1.0,27.2,0,0,0,0,1,1,0,0.11,0,2,0,0,1,369,248,False,False,False,False,False,False,False,True,1
387,2,357.82,178.91,14,7.0,30.84,0,1,0,0,0,1,0,0.21,1,2,0,0,1,966,21,False,False,False,False,False,False,False,True,4
245,1,247.59,82.53,3,1.0,28.95,0,0,0,0,1,1,0,0.05,0,1,1,1,1,245,26,False,False,False,False,False,False,False,True,1
387,1,28.75,28.75,1,1.0,31.39,0,1,0,0,0,1,0,0.09,0,0,0,0,1,693,387,False,False,False,False,False,False,False,True,3
387,1,33.95,33.95,1,1.0,33.95,0,1,0,0,0,0,1,0.0,0,2,0,0,1,621,21,False,False,False,False,False,False,False,True,2
387,2,59.900000000000006,29.95,2,1.0,29.95,0,1,0,1,0,0,1,0.0,0,2,0,0,1,824,28,False,False,False,False,False,False,False,True,2
377,1,264.63,88.21,3,1.0,30.95,0,1,0,0,0,1,0,0.05,0,2,0,1,1,419,172,False,False,False,False,False,False,False,True,3
387,1,62.91,62.91,2,2.0,34.66,0,0,0,1,0,1,0,0.1,0,1,0,1,1,519,29,False,False,False,False,False,False,False,True,3
387,1,195.42,97.71,3,2.0,33.95,0,1,0,0,0,1,0,0.05,0,1,0,0,1,619,6,False,False,False,False,False,False,False,True,3
145,2,1836.88,204.1,16,2.0,29.28,0,0,0,0,1,1,0,0.25,1,0,0,1,1,369,98,False,False,False,False,False,False,False,True,4
387,1,93.42,46.71,2,1.0,25.5,0,1,0,0,0,1,0,0.09,0,1,0,1,1,868,28,False,False,False,False,False,False,False,True,3
387,1,36.95,36.95,1,1.0,36.95,0,1,0,0,0,0,1,0.0,0,0,0,1,1,580,387,False,False,False,False,False,False,False,True,2
387,1,33.95,33.95,1,1.0,33.95,0,0,0,0,0,0,1,0.0,0,2,0,0,1,622,1,False,False,False,False,False,False,False,True,2
387,1,31.95,31.95,1,1.0,31.95,0,1,0,0,0,0,1,0.0,0,0,0,1,0,924,207,False,False,False,False,False,False,False,True,2
137,2,213.83,71.28,5,2.0,26.62,0,0,0,0,1,1,0,0.11,1,0,0,1,1,249,25,False,False,False,False,False,False,False,True,1
387,2,118.98,39.66,3,1.0,26.4,0,0,0,1,0,1,0,0.15,0,0,0,1,1,690,387,False,False,False,False,False,False,False,True,3
387,1,22.46,22.46,1,1.0,24.52,0,1,0,0,0,1,0,0.09,0,0,0,1,1,956,387,False,False,False,False,False,False,False,True,3
22,3,295.11,73.78,8,2.0,28.7,0,0,0,0,1,1,0,0.16,0,1,1,1,1,216,-1,False,False,False,False,False,False,False,True,1
270,1,62.95,62.95,1,1.0,69.95,0,0,0,0,1,1,0,0.11,0,0,0,1,1,271,41,False,False,False,False,False,True,False,False,1
282,2,51.2,25.6,2,1.0,26.95,0,0,1,0,1,0,0,0.11,1,1,1,0,1,286,51,False,False,False,False,False,False,False,True,1
387,1,31.46,31.46,1,1.0,34.34,0,1,0,0,0,1,0,0.09,0,0,0,0,1,744,387,False,False,False,False,False,False,False,True,3
387,1,201.72,100.86,4,2.0,19.95,0,0,0,1,0,1,0,0.05,0,2,0,0,1,548,2,False,False,False,False,False,False,False,True,3
196,1,122.17,122.17,1,1.0,135.75,0,0,0,0,1,1,0,0.11,0,1,1,1,1,196,41,False,False,False,False,False,False,False,True,1
280,1,129.8,64.9,2,1.0,32.45,0,0,0,0,1,0,1,0.0,0,2,0,1,1,280,205,False,False,False,False,False,False,False,True,2
377,1,230.43,76.81,3,1.0,26.95,0,1,0,0,0,1,0,0.05,0,0,0,0,1,410,4,False,False,False,False,False,False,False,True,3
387,1,32.95,32.95,1,1.0,32.95,0,1,0,0,0,0,1,0.0,0,0,0,0,1,991,387,False,False,False,False,False,False,False,True,2
387,3,381.67,76.33,8,2.0,27.42,0,1,0,0,0,0,0,0.23,1,1,0,1,1,904,-3,False,False,False,False,False,False,False,True,4
199,2,226.38,75.46,6,2.0,23.95,0,0,0,0,1,0,0,0.05,1,0,0,1,1,290,172,False,False,False,False,False,False,False,True,4
377,1,26.95,26.95,1,1.0,26.95,0,1,0,0,0,0,1,0.0,0,1,0,0,1,433,0,False,False,False,False,False,False,False,True,2
387,3,839.46,93.27,11,1.0,27.15,0,1,0,1,0,1,0,0.1,1,1,0,1,1,603,55,False,False,False,False,False,False,False,True,4
126,1,161.76,80.88,3,2.0,29.95,0,0,0,0,1,1,0,0.11,0,2,0,1,1,126,2,False,False,False,False,False,False,False,True,1
387,2,52.63,26.32,2,1.0,30.15,0,1,0,0,0,1,0,0.21,0,0,0,1,1,673,387,False,False,False,False,False,False,False,True,3
306,1,213.92,213.92,7,7.0,33.95,0,0,0,0,1,1,0,0.11,0,0,0,0,1,306,41,False,False,False,False,False,False,False,True,1
387,1,91.06,45.53,2,1.0,27.46,0,0,0,1,0,1,0,0.21,0,0,0,1,1,840,387,False,False,False,False,False,False,False,True,3
4,2,331.56,66.31,5,1.0,28.15,0,0,0,0,1,1,0,0.11,1,1,1,1,1,54,-2,False,False,False,False,False,False,False,True,1
387,1,53.9,53.9,2,2.0,26.95,0,1,0,0,0,0,1,0.0,0,0,0,1,1,558,91,False,False,False,False,True,False,False,True,2
387,5,308.15,51.36,8,1.0,32.73,0,1,0,1,0,0,0,0.15,1,0,0,1,1,762,387,False,False,False,False,False,False,False,True,4
387,1,31.95,31.95,1,1.0,31.95,0,1,0,0,0,0,1,0.0,0,2,0,0,1,707,387,False,False,False,False,False,False,False,True,2
387,1,25.46,25.46,1,1.0,29.17,0,1,0,0,0,1,0,0.15,0,2,0,0,1,965,253,False,False,False,False,False,False,False,True,3
387,1,29.95,29.95,1,1.0,29.95,0,1,0,0,0,0,1,0.0,0,0,0,0,1,521,190,False,False,False,False,False,False,False,True,2
76,3,384.68,76.94,8,2.0,30.75,0,1,0,0,1,0,0,0.11,1,1,0,1,1,793,1,False,False,False,False,False,True,False,False,4
387,1,36.95,36.95,1,1.0,36.95,0,0,0,1,0,0,1,0.0,0,2,0,0,1,594,28,False,False,False,False,False,True,False,False,0
387,1,120.42,60.21,2,1.0,32.87,0,0,0,1,0,1,0,0.09,0,1,0,1,1,796,253,False,False,False,False,False,True,False,False,0
387,1,33.26,33.26,1,1.0,36.65,0,1,0,0,0,1,0,0.1,0,1,0,0,1,578,26,False,False,False,False,False,False,False,True,3
265,1,28.95,28.95,1,1.0,28.95,0,0,1,0,0,0,1,0.0,0,2,0,1,1,265,208,False,False,False,False,False,True,False,False,0
387,11,1629.47,148.13,55,5.0,30.77,0,1,0,0,0,0,0,0.11,1,0,0,1,0,1123,230,True,False,False,False,False,False,False,True,4
129,4,979.86,81.66,12,1.0,29.61,0,1,0,0,1,1,0,0.11,0,1,0,1,1,777,-1,False,False,False,False,False,False,False,True,4
377,1,32.95,32.95,1,1.0,32.95,0,1,0,0,0,0,1,0.0,0,2,0,0,1,380,-2,False,False,False,False,False,False,False,True,2
387,1,106.94,53.47,2,1.0,30.63,0,0,0,1,0,1,0,0.15,0,2,0,0,1,778,2,False,False,False,False,False,False,False,True,3
327,1,23.35,23.35,1,1.0,25.95,0,0,0,0,1,1,0,0.11,0,1,1,0,1,327,2,False,False,False,False,False,False,False,True,1
387,1,59.9,59.9,2,2.0,29.95,1,0,0,0,0,0,1,0.0,0,2,0,0,1,547,2,False,False,False,False,False,True,False,False,0
